proteine,param,base,other,deviation,comparison,latex_formula
P-70s6k,beta,-0.158,-0.150,5.173,beta_up_2,$[(-0.158 - -0.150)/-0.158] \times 100 = 5\%$
P-70s6k,beta,-0.158,-0.166,-5.099,beta_down_1,$[(-0.158 - -0.166)/-0.158] \times 100 = -5\%$
P-70s6k,beta,-0.158,-0.170,-7.079,beta_down_2,$[(-0.158 - -0.170)/-0.158] \times 100 = -7\%$
P-70s6k,beta,-0.158,-0.160,-1.037,double_iter,$[(-0.158 - -0.160)/-0.158] \times 100 = -1\%$
P-70s6k,sigma,0.085,0.084,0.496,double_iter,$[(0.085 - 0.084)/0.085] \times 100 = 0\%$
P-70s6k,sigma_alpha,0.165,0.168,-2.012,double_iter,$[(0.165 - 0.168)/0.165] \times 100 = -2\%$
PGC1-alpha,beta,-0.121,-0.120,1.281,noninf_beta,$[(-0.121 - -0.120)/-0.121] \times 100 = 1\%$
PGC1-alpha,sigma,0.097,0.100,-3.334,noninf_beta,$[(0.097 - 0.100)/0.097] \times 100 = -3\%$
PGC1-alpha,sigma_alpha,0.237,0.237,-0.079,noninf_beta,$[(0.237 - 0.237)/0.237] \times 100 = -0\%$
PGC1-alpha,beta,-0.121,-0.110,9.382,beta_up_1,$[(-0.121 - -0.110)/-0.121] \times 100 = 9\%$
PGC1-alpha,beta,-0.121,-0.108,10.808,beta_up_2,$[(-0.121 - -0.108)/-0.121] \times 100 = 11\%$
PGC1-alpha,beta,-0.121,-0.128,-5.704,beta_down_1,$[(-0.121 - -0.128)/-0.121] \times 100 = -6\%$
PGC1-alpha,beta,-0.121,-0.135,-11.067,beta_down_2,$[(-0.121 - -0.135)/-0.121] \times 100 = -11\%$
PGC1-alpha,beta,-0.121,-0.119,2.094,double_iter,$[(-0.121 - -0.119)/-0.121] \times 100 = 2\%$
PGC1-alpha,sigma,0.097,0.098,-1.667,double_iter,$[(0.097 - 0.098)/0.097] \times 100 = -2\%$
PGC1-alpha,sigma_alpha,0.237,0.238,-0.581,double_iter,$[(0.237 - 0.238)/0.237] \times 100 = -1\%$

